School_Name,ELA Math Science_# ELA Proficiency,SAT_SAT Reading Average Score,SAT_SAT Math Average Score,ISA_# ISA Proficiency Total Student,Latitude,Longitude
Clemente Community Academy HS,6.0,390.8,376.8,24.0,41.9026116,-87.6864154
YCCS-Scholastic Achievement HS,0.0,374.8,361.9,3.0,41.8570202,-87.6451273
YCCS- McKinley-Lakeside Leadership Academy,0.0,371.2,351.2,1.0,41.8413541,-87.6254151
YCCS-ASPIRA Pantoja Alt HS,2.0,369.6,365.9,3.0,41.9379358,-87.7270095
YCCS-Association House,0.0,390.5,368.5,0.0,41.8570202,-87.6451273
YCCS-CCA Academy HS,0.0,359.7,340.9,,41.8650756,-87.72479349999999
YCCS-Progressive Leadership Academy,0.0,373.3,339.8,0.0,41.8570202,-87.6451273
Manley Career Academy High School,1.0,376.7,364.4,1.0,41.8708755,-87.6998468
Curie Metropolitan High School,74.0,441.8,431.2,95.0,41.8022427,-87.72166999999999
YCCS-Community Youth Dev Inst HS,0.0,365.0,355.4,,41.8570202,-87.6451273
YCCS-Albizu Campos Puerto Rican HS,0.0,386.7,369.8,4.0,41.8781136,-87.6297982
YCCS-Innovations of Arts Integr HS,0.0,380.3,359.1,0.0,41.8570202,-87.6451273
YCCS-Latino Youth Alternative HS,0.0,376.6,360.5,0.0,41.8570202,-87.6451273
YCCS-Olive Harvey Mid College HS,0.0,391.9,368.5,2.0,41.709907,-87.589316
YCCS-Sullivan House Alt HS,1.0,366.7,369.0,,41.8570202,-87.6451273
YCCS-Truman Middle College HS,3.0,400.9,397.6,5.0,41.8570202,-87.6451273
YCCS-West Town Academy Alt HS,1.0,376.4,372.1,0.0,41.891411,-87.7025093
YCCS West,0.0,371.5,371.3,0.0,41.901997,-87.7495031
YCCS-Youth Connection Leadership Academy,2.0,386.5,376.5,0.0,41.8570202,-87.6451273
YCCS Chtr - Chatham,0.0,387.1,370.0,2.0,41.7401204,-87.61463599999999
ASPIRA Charter - Early College Prep HS,2.0,410.4,401.8,7.0,41.8781136,-87.6297982
Julian High School,1.0,385.4,368.7,11.0,41.7060512,-87.6543566
Young Magnet High School,640.0,638.8,650.8,514.0,41.8776894,-87.6630835
Juarez Community Academy HS,18.0,433.7,404.5,49.0,41.85279389999999,-87.6643651
Chicago HS for Agricult Sciences,54.0,492.6,453.4,86.0,41.690225,-87.71764650000001
Hancock College Preparatory HS,126.0,542.1,536.5,184.0,41.7752067,-87.7579052
Brooks College Prep Academy HS,206.0,559.3,546.8,213.0,41.6940833,-87.6158523
Northside College Preparatory Hs,233.0,652.5,649.9,225.0,41.9813057,-87.70789959999999
Chicago Military Academy HS,3.0,446.5,409.8,9.0,41.8303817,-87.6191728
Payton College Preparatory HS,257.0,665.3,667.2,255.0,41.9016989,-87.6350785
Aspira Charter - Business and Finance HS,4.0,398.6,385.2,11.0,41.8781136,-87.6297982
Phoenix Military Academy HS,13.0,458.1,447.6,30.0,41.8786771,-87.6882694
Spry Community Links High School,0.0,409.2,400.0,3.0,41.8476535,-87.6998179
Chicago Academy High School,25.0,449.4,433.2,43.0,41.94296689999999,-87.7769852
Bowen High School,0.0,384.6,370.6,0.0,41.7341011,-87.5575717
North-Grand High School,9.0,416.6,406.7,45.0,41.9124219,-87.7349604
Raby High School,4.0,376.3,385.3,0.0,41.8861417,-87.7153641
Clark Acad Prep Magnet High Schl,5.0,404.2,374.6,2.0,41.8781136,-87.6297982
Rickover Naval Academy High Schl,25.0,465.5,441.2,39.0,41.9890128,-87.6667743
Uplift Community High School,1.0,366.9,370.0,,41.9659998,-87.6522014
CICS - Northtown  Campus,31.0,444.5,433.1,24.0,41.9909405,-87.72822450000001
World Language High School,9.0,453.8,407.6,21.0,41.8358272,-87.7356305
Douglass Academy High School,,,,,41.89057469999999,-87.76715809999999
Devry Advantage Academy High Schl,20.0,503.0,495.7,29.0,41.9689156,-87.6765729
Lindblom Math & Science Acad HS,201.0,531.9,509.6,175.0,41.7820798,-87.6718901
Bronzeville Scholastic HS,1.0,,,,41.8048151,-87.6254335
School of Social Justice HS,2.0,405.5,392.7,3.0,41.8348999,-87.7356033
Multicultural Arts High School,3.0,424.3,395.9,11.0,41.8781136,-87.6297982
Infinity Math  Science & Tech HS,17.0,456.3,451.2,47.0,41.8354286,-87.73565289999999
CICS - Ralph Ellison Campus,0.0,388.6,358.8,4.0,41.7481405,-87.6689966
Collins Academy High School,0.0,388.8,379.8,1.0,41.8640759,-87.7011184
Austin College and Career Academy High School,0.0,378.2,372.5,5.0,41.8853945,-87.76297559999999
Orr Academy High School,4.0,403.7,373.0,3.0,41.893927,-87.726435
Air Force Acad High School,3.0,443.6,408.2,16.0,41.8278882,-87.6329602
Alcott College Prep,11.0,438.7,426.0,20.0,41.9357564,-87.6804999
North Lawndale Prep Chtr - Christiana,1.0,397.6,387.6,2.0,41.8584921,-87.7088287
Chicago Technology Academy HS,2.0,398.2,374.3,7.0,41.8781136,-87.6297982
Chicago HS for the Arts,54.0,500.6,446.6,89.0,41.8994827,-87.6950336
Ogden Int High School,32.0,482.9,463.9,27.0,41.8937679,-87.658807
Williams Medical Prep High Sch,1.0,437.6,414.7,2.0,41.8769747,-87.68322979999999
Westinghouse High School,102.0,507.4,494.6,40.0,41.8894272,-87.7073059
Solorio Academy High School,44.0,448.5,449.7,101.0,41.7949284,-87.7114938
Acero Chtr Sch Network -  Major Hector P Garcia MD H S,9.0,427.1,405.3,36.0,41.8085403,-87.7307842
South Shore Intl Col Prep HS,18.0,461.8,438.5,31.0,41.7579736,-87.5767314
Goode STEM Academy HS,8.0,405.2,393.4,24.0,41.7539265,-87.7064547
Chicago Excel Academy HS,1.0,399.0,380.0,1.0,41.69201109999999,-87.65361469999999
Walter Henri Dyett High School for the Arts,6.0,414.5,393.4,5.0,41.8781136,-87.6297982
Englewood STEM High School,2.0,395.6,373.5,1.0,41.7699904,-87.6343735
Acero Chtr Sch Network Victoria Soto Campus,8.0,425.7,417.1,29.0,41.8781136,-87.6297982
KIPP Academy Chicago Campus,59.0,,,23.0,41.89164969999999,-87.74678700000001
KIPP Chicago Charters - Bloom Campus,91.0,,,40.0,41.8550503,-87.64643509999999
Univ of Chicago Chtr-Woodlawn,32.0,434.4,389.3,35.0,41.78058,-87.5915351
LEARN Chtr - Middle School,60.0,,,24.0,41.8781136,-87.6297982
ASPIRA Charter - Haugan Campus,17.0,,,15.0,41.961721,-87.707151
Art in Motion Charter School,6.0,383.4,372.7,36.0,41.7600762,-87.582956
Jackson M Elem School,24.0,,,8.0,41.8781136,-87.6297982
Green  W Elem School,62.0,,,26.0,41.719451,-87.6520544
Addams Elem School,88.0,,,55.0,41.8781136,-87.6297982
Harriet Tubman Elem School,82.0,,,40.0,41.93400099999999,-87.6557224
Alcott Elem School,223.0,,,90.0,41.9296481,-87.6459706
Aldridge Elem School,22.0,,,12.0,41.6575986,-87.60649169999999
Armour Elem School,57.0,,,13.0,41.8340245,-87.6500203
Armstrong G Elem IntL Studies,306.0,,,139.0,41.8781136,-87.6297982
Audubon Elem School,146.0,,,69.0,41.9454045,-87.68117170000001
Avalon Park Elem School,29.0,,,9.0,41.7485226,-87.5912872
Barnard Elem Comp Math & Sci Ctr,39.0,,,19.0,41.7053977,-87.65850879999999
Barry Elem School,40.0,,,25.0,41.9326675,-87.73975519999999
Barton Elem School,15.0,,,10.0,41.7546087,-87.6713822
Bass Elem School,14.0,,,13.0,41.774826,-87.65379779999999
Locke A Elem Charter Academy,83.0,,,21.0,41.8771349,-87.70510759999999
Bateman Elem School,136.0,,,79.0,41.9581283,-87.7026013
Nicholson Technology Acad Elem Sch,22.0,,,10.0,41.8781136,-87.6297982
Beaubien Elem School,322.0,,,146.0,41.971969,-87.75703999999999
Beethoven Elem School,10.0,,,4.0,41.8082729,-87.6271793
Beidler Elem School,13.0,,,8.0,41.8850873,-87.7048525
Belding Elem School,119.0,,,57.0,41.9586494,-87.73368959999999
Bell Elem School,387.0,,,172.0,41.9495261,-87.6862446
Bennett Elem School,18.0,,,8.0,41.8781136,-87.6297982
Black Magnet Elem School,135.0,,,54.0,41.7290715,-87.57647539999999
Blaine Elem School,271.0,,,101.0,41.9509619,-87.664931
Bond Elem School,21.0,,,7.0,41.76575510000001,-87.6532524
Mosaic School of Fine Arts,121.0,,,61.0,42.004099,-87.6979775
Bradwell Comm Arts & Sci Elem Sch,23.0,,,13.0,41.8781136,-87.6297982
Haley Elem Academy,42.0,,,21.0,41.6863606,-87.63337179999999
Brennemann Elem School,36.0,,,29.0,41.9600422,-87.6492392
Brentano Elem Math & Science Acad,123.0,,,57.0,41.9310115,-87.69604059999999
Bridge Elem School,188.0,,,118.0,41.9496834,-87.7988494
Bright Elem School,25.0,,,5.0,41.8781136,-87.6297982
Brown  W Elem School,13.0,,,1.0,41.8829751,-87.671251
Brownell Elem School,11.0,,,6.0,41.7712075,-87.62144819999999
Bouchet Elem Math & Science Acad,34.0,,,25.0,41.761255,-87.57591540000001
Budlong Elem School,130.0,,,69.0,41.8781136,-87.6297982
Burbank Elem School,59.0,,,67.0,41.8781136,-87.6297982
Burke Elem School,4.0,,,0.0,41.79714540000001,-87.6165811
Burley Elem School,206.0,,,82.0,41.8781136,-87.6297982
Burnham Elem Inclusive Academy,17.0,,,15.0,41.8781136,-87.6297982
Burnside Elem Scholastic Academy,62.0,,,26.0,41.7287712,-87.6076161
Burr Elem School,191.0,,,78.0,41.91212700000001,-87.6686796
Burroughs Elem School,106.0,,,43.0,41.8288622,-87.69267239999999
Brunson Math & Sci Specialty Elem,19.0,,,10.0,41.8972904,-87.7658014
Byrne Elem School,147.0,,,88.0,41.7948196,-87.79101759999999
Daisy Bates Academy of Social Justice,20.0,,,16.0,41.8781136,-87.6297982
Cameron Elem School,39.0,,,36.0,41.8781136,-87.6297982
Canty Elem School,238.0,,,93.0,41.9478642,-87.82973030000001
Carnegie Elem School,107.0,,,43.0,41.7836708,-87.5911031
Carroll Elem School,45.0,,,27.0,41.8781136,-87.6297982
Carter Elem School,14.0,,,17.0,41.789759,-87.6234465
Cassell Elem School,102.0,,,46.0,41.6874657,-87.7037995
Cather Elem School,14.0,,,7.0,41.8832478,-87.6993249
Chalmers Elem Specialty School,13.0,,,9.0,41.8663519,-87.6950557
Chappell Elem School,126.0,,,65.0,41.9750589,-87.6833838
Chase Elem School,41.0,,,26.0,41.8781136,-87.6297982
Clay Elem School,56.0,,,33.0,41.6546178,-87.54409559999999
Cleveland Elem School,60.0,,,33.0,41.9516974,-87.7059845
Clinton Elem School,150.0,,,67.0,41.8781136,-87.6297982
Clissold Elem School,57.0,,,34.0,41.6934967,-87.6795349
Coles Elem Language Academy,14.0,,,7.0,41.7414615,-87.5657299
Columbus Elem School,39.0,,,24.0,41.8781136,-87.6297982
