"school_name","distance_to_nearest_park_miles","duration","nearest_park","ela_proficiency","SAT_average_reading_score","SAT_average_math_score","isa_proficiency","latitude","longitude"
"Hamilton Elem School",0.2,6,"KLEIN (LOIS)",180,NA,NA,64,41.9454775,-87.6706494
"Hamline Elem School",0.3,6,"PACKINGTOWN",19,NA,NA,11,41.8073045,-87.6610101
"Hammond Elem School",0.6,13,"WASHTENAW",19,NA,NA,19,41.8525332,-87.6958882
"Hampton Elem Fine & Perf Arts Sch",0.4,8,"DVORAK (ANTON)",31,NA,NA,18,41.8561467,-87.658113
"Hancock College Preparatory HS",0.5,12,"LAWLER (MICHAEL)",126,542.1,536.5,184,41.7752067,-87.7579052
"Hanson Park Elem School",0.5,12,"CRAGIN",123,NA,NA,96,41.923335,-87.7620161
"Harlan Community Academy HS",0.1,3,"ABBOTT (ROBERT)",2,375.1,363.1,2,41.7183438,-87.6209035
"Harriet Tubman Elem School",0.3,8,"NOETHLING (GRACE)",82,NA,NA,40,41.934001,-87.6557224
"Harvard Elem School",0.3,8,"MEMORIAL",17,NA,NA,14,41.7575256,-87.6323302
"Haugan Elem School",0.3,6,"JENSEN (CHRIST)",83,NA,NA,41,41.9637412,-87.7235067
"Hawthorne Elem Scholastic Academy",0.2,4,"PRITZKER",339,NA,NA,114,41.8781136,-87.6297982
"Hay Elem Community Academy",0.5,12,"SWEET CLOVER",20,NA,NA,19,41.8994682,-87.7561493
"Hayt Elem School",0.4,8,"SENN (NICHOLAS)",150,NA,NA,80,41.9946092,-87.668722
"Healy Elem School",0.2,5,"HUMBERT (JAMES)",481,NA,NA,230,41.8394087,-87.6407608
"Hearst Elem School",0.5,12,"VITTUM (HARRIET ELIZABETH)",15,NA,NA,16,41.808523,-87.746148
"Hedges Elem School",0.2,4,"PRITZKER",22,NA,NA,23,41.8781136,-87.6297982
"Hefferan Elem School",0.4,9,"CLARK (JOHN)",24,NA,NA,13,41.8785148,-87.7359243
"Henderson Elem School",0.2,4,"PRITZKER",8,NA,NA,4,41.8781136,-87.6297982
"Hendricks Elem Community Academy",0.2,4,"PRITZKER",22,NA,NA,8,41.8781136,-87.6297982
"Henry Elem School",0.2,4,"PRITZKER",44,NA,NA,33,41.8781136,-87.6297982
"Hernandez Middle School",0.2,4,"SENKA (EDWARD ""DUKE"")",91,NA,NA,119,41.7938089,-87.7116427
"Herzl Elem School",0.2,5,"HORNBEAM",11,NA,NA,5,41.8616042,-87.7184243
"Hibbard Elem School",0.4,8,"KIWANIS",71,NA,NA,45,41.970878,-87.7103822
"Higgins Elem Community Academy",0.1,3,"MORGAN (THOMAS LEEDS) FIELD",24,NA,NA,14,41.6808757,-87.6473995
"Hirsch Metropolitan High School",0.1,3,"GRAND CROSSING",0,384.5,361.6,2,41.7538333,-87.6018158
"Hitch Elem School",0.6,13,"GLADSTONE (WILLIAM)",129,NA,NA,65,41.984102,-87.778823
"Holden Elem School",0.2,4,"BOSLEY (WILLIAM)",75,NA,NA,39,41.8381049,-87.6541439
"Holmes Elem School",0.2,5,"LUNA",5,NA,NA,4,41.7933351,-87.6496207
"Hope Learning Academy",0.2,5,"UNION",8,NA,NA,6,41.8838037,-87.6681306
"Horizon Sci Academy - Southwest Charter",0.3,8,"GAGE (GEORGE)",100,453.9,410.8,50,41.7954406,-87.6822357
"Horizon Science Acad-Belmont Charter Sch",0.8,17,"RIIS (JACOB)",114,NA,NA,43,41.9255829,-87.7699402
"Horizon Science Acad-McKinley Park Charter Sch",0.3,7,"MCKINLEY (WILLIAM)",181,505.5,491.4,70,41.8228865,-87.6820657
"Howe Elem School",0.2,4,"PRITZKER",15,NA,NA,7,41.8781136,-87.6297982
"Hoyne Elem School",0.2,4,"PRITZKER",31,NA,NA,16,41.8781136,-87.6297982
"Hubbard High School",1.0,23,"WEST LAWN",45,437.6,413.5,117,41.7801987,-87.718647
"Hughes  C Elem School",0.2,4,"PRITZKER",2,NA,NA,2,41.8781136,-87.6297982
"Hughes L Elem School",0.2,4,"PRITZKER",16,NA,NA,10,41.8781136,-87.6297982
"Hurley Elem School",0.9,21,"WEST LAWN",154,NA,NA,90,41.7664033,-87.7191981
"Hyde Park Academy High School",0.5,11,"BEEHIVE",3,403.3,379.2,10,41.782193,-87.5870649
"IHSCA Charter High School",0.3,8,"BARAGA (FREDERICK)",5,410,387.8,25,41.845757,-87.6858588
"IJLA Charter High School",0.2,5,"BARAGA (FREDERICK)",0,376.4,361.6,NA,41.8456309,-87.6842073
"Infinity Math  Science & Tech HS",0.3,7,"PIOTROWSKI (LILLIAN)",17,456.3,451.2,47,41.8354286,-87.7356529
"Inter-American Elem Magnet School",0.4,9,"GILL (JOSEPH)",128,NA,NA,64,41.9485542,-87.6517124
"Intrinsic 2 Charter High School",0.2,4,"PRITZKER",32,449.7,424.7,42,41.8781136,-87.6297982
"Intrinsic Charter High School",0.2,4,"PRITZKER",59,449.4,441.2,109,41.8781136,-87.6297982
"Irving Elem School",0.2,4,"CLAREMONT",22,NA,NA,13,41.8717744,-87.6829987
"Jackson M Elem School",0.2,4,"PRITZKER",24,NA,NA,8,41.8781136,-87.6297982
"Jahn Elem School",0.3,6,"WIEBOLDT (WILLIAM)",43,NA,NA,19,41.9391624,-87.6753879
"James R Doolittle Academy",0.2,4,"PRITZKER",4,NA,NA,7,41.8781136,-87.6297982
"Jamieson Elem School",0.4,10,"MATHER (STEPHEN TYNG)",218,NA,NA,106,41.9844136,-87.7009659
"Jensen Elem Scholastic Academy",0.2,4,"PRITZKER",28,NA,NA,28,41.8781136,-87.6297982
"Johnson Elem School",0.2,4,"PRITZKER",4,NA,NA,2,41.8781136,-87.6297982
"Jones College Prep High School",0.2,4,"DEARBORN (HENRY)",444,636.3,635.9,195,41.8729672,-87.6279213
"Joplin Elem School",0.5,10,"DAWES (CHARLES)",37,NA,NA,19,41.7494877,-87.6691404
"Jordan Elem Community School",0.2,4,"POTTAWATTOMIE",22,NA,NA,18,42.0170855,-87.678031
"Juarez Community Academy HS",0.6,14,"DVORAK (ANTON)",18,433.7,404.5,49,41.8527939,-87.6643651
"Julian High School",0.5,11,"GRAVER (PHILIP)",1,385.4,368.7,11,41.7060512,-87.6543566
"Jungman Elem School",0.4,9,"DVORAK (ANTON)",65,NA,NA,28,41.8585624,-87.6525236
"Kanoon Elem Magnet School",0.4,10,"HOMAN (JOSEPH)",32,NA,NA,33,41.8506371,-87.7049642
"Keller Elem Gifted Magnet School",0.4,9,"MCKIERNAN (DAVID)",155,NA,NA,54,41.6975026,-87.6968881
"Kellman Corporate Community Elem",0.3,7,"BARBERRY",5,NA,NA,3,41.8703041,-87.7022715
"Kellogg Elem School",0.6,13,"COSME (MARGARET)",106,NA,NA,38,41.7252518,-87.6768302
"Kelvyn Park High School",0.2,6,"KELVYN (WILLIAM)",8,401.7,380.2,26,41.9272439,-87.7359639
"Kennedy High School",0.3,6,"WENTWORTH (JOHN)",46,443.4,429.3,73,41.7902356,-87.7802853
"Kenwood Academy High School",0.4,9,"WASHINGTON (HAROLD)",366,498.2,474.6,328,41.8033307,-87.5894153
"Kershaw Elem School",0.4,10,"JUNCTION GROVE",30,NA,NA,9,41.7765331,-87.6410012
"Kilmer Elem School",0.4,9,"LAZARUS (EMMA)",92,NA,NA,59,42.0043286,-87.6686692
"King Academy of Social Justice",0.3,6,"LILY GARDENS",13,NA,NA,5,41.7654836,-87.6413318
"King College Prep High School",0.4,8,"CHAMBERLAIN TRIANGLE",22,481.6,460.6,10,41.8138852,-87.6029812
"Kinzie Elem School",0.4,8,"WENTWORTH (JOHN)",270,NA,NA,91,41.7902633,-87.7790099
"Kipling Elem School",0.2,4,"PRITZKER",24,NA,NA,24,41.8781136,-87.6297982
"KIPP Academy Chicago Campus",0.2,4,"OHIO",59,NA,NA,23,41.8916497,-87.746787
"KIPP Chicago Charter School - KIPP One Academy",0.2,4,"ORR (REZIN)",134,NA,NA,98,41.8946241,-87.7265112
"KIPP Chicago Charters - Ascend Academy",0.2,5,"REYES (GUADALUPE)",58,NA,NA,55,41.8550503,-87.6464351
"KIPP Chicago Charters - Bloom Campus",0.2,5,"REYES (GUADALUPE)",91,NA,NA,40,41.8550503,-87.6464351
"Lake View High School",0.4,8,"WARNER GARDEN",37,439.7,432,59,41.9552954,-87.668809
"Lane Technical High School",0.3,6,"CLARK (RICHARD)",962,627.1,626.9,686,41.945166,-87.6906541
"Langford A Elem School",0.2,4,"PRITZKER",11,NA,NA,6,41.8781136,-87.6297982
"Lara Elem Academy",0.2,4,"PRITZKER",30,NA,NA,24,41.8781136,-87.6297982
"LaSalle Elem Language Academy",0.3,7,"EUGENIE TRIANGLE",147,NA,NA,55,41.9139613,-87.6376873
"LaSalle II Lang Acad Elem Sch",0.3,8,"PALMER (BERTHA HONORÉ)",182,NA,NA,94,41.9028261,-87.6738377
"Lavizzo Elem School",0.3,7,"PARK NO. 589",17,NA,NA,18,41.6964876,-87.6270447
"Lawndale Elem Community Academy",0.2,5,"GINKGO",8,NA,NA,1,41.863198,-87.7133175
"LEARN Charter Excel Campus",0.2,5,"CLAREMONT",67,NA,NA,17,41.8747369,-87.6865708
"LEARN Chtr -  Hunter Perkins Campus",0.2,4,"PRITZKER",103,NA,NA,35,41.8781136,-87.6297982
"LEARN Chtr - 7th Campus",0.2,4,"PRITZKER",14,NA,NA,6,41.8781136,-87.6297982
"LEARN Chtr - Butler",0.2,4,"PRITZKER",59,NA,NA,31,41.8781136,-87.6297982
"LEARN Chtr - Middle School",0.2,4,"PRITZKER",60,NA,NA,24,41.8781136,-87.6297982
"LEARN Chtr - South Chicago Campus",0.5,12,"RUSSELL (MARTIN) SQUARE",49,NA,NA,28,41.7396861,-87.5544182
"LEARN Chtr-Campbell Campus",0.2,4,"PRITZKER",45,NA,NA,11,41.8781136,-87.6297982
"Lee Elem School",0.2,3,"WEST LAWN",93,NA,NA,50,41.7752558,-87.7293039
"Legacy Elem Charter School",0.2,4,"PRITZKER",53,NA,NA,23,41.8781136,-87.6297982
"Legal Prep Academy Charter HS",0.2,4,"PRITZKER",1,397,376.5,3,41.8781136,-87.6297982
"Leland Elem School",0.6,13,"MOORE (MAURICE)",4,NA,NA,9,41.8735501,-87.749805
"Lenart Elem Regional Gifted Ctr",0.3,7,"WEST CHATHAM",135,NA,NA,44,41.7467858,-87.6277516
"Lewis Elem School",0.2,5,"LA FOLLETTE (ROBERT)",28,NA,NA,15,41.9067369,-87.7536335
"Libby Elem School",0.2,4,"SHERMAN (JOHN)",30,NA,NA,17,41.7965416,-87.6600462
"Lincoln Elem School",0.3,6,"OZ",413,NA,NA,155,41.9243643,-87.6445385
"Lincoln Park High School",0.2,5,"OZ",235,537.7,534.2,166,41.9184082,-87.6458448
"Lindblom Math & Science Acad HS",0.3,6,"LINDBLOM (ROBERT)",201,531.9,509.6,175,41.7820798,-87.6718901
"Linne Elem School",0.2,4,"BRANDS",104,NA,NA,53,41.9402685,-87.7024195
"Little Village Elem School",0.5,11,"SHEDD (JOHN G.)",71,NA,NA,61,41.8430121,-87.7175039
"Lloyd Elem School",0.5,11,"BLACKHAWK",57,NA,NA,33,41.9190964,-87.7473455
"Locke  J Elem School",0.3,6,"BELL (GEORGE,JR.)",144,NA,NA,92,41.9316578,-87.7959299
"Locke A Elem Charter Academy",0.2,5,"HORAN (ALBERT)",83,NA,NA,21,41.8771349,-87.7051076
"Lovett Elem School",0.3,6,"AMUNDSEN (ROALD)",42,NA,NA,15,41.9124905,-87.7842298
"Lowell Elem School",0.2,4,"PRITZKER",30,NA,NA,17,41.8781136,-87.6297982
"Lozano Elem Bilingual & Intl Ctr",0.2,4,"PARK NO. 536",9,NA,NA,9,41.9078093,-87.6645798
"Lyon Elem School",0.2,4,"PRITZKER",173,NA,NA,124,41.8781136,-87.6297982
"Madero Middle School",0.3,8,"MIAMI",38,NA,NA,24,41.8415345,-87.7053182
"Madison Elem School",0.2,4,"PRITZKER",21,NA,NA,10,41.8781136,-87.6297982
"Manierre Elem School",0.3,8,"PARK NO. 598",6,NA,NA,2,41.9079248,-87.6401181
"Manley Career Academy High School",0.2,5,"BARBERRY",1,376.7,364.4,1,41.8708755,-87.6998468
"Mann Elem School",0.2,4,"PRITZKER",45,NA,NA,28,41.8781136,-87.6297982
"Marine Leadership Academy - Ames",0.3,7,"MOZART (AMADEUS)",39,451.3,416.5,49,41.9162887,-87.722443
"Marquette Elem School",0.4,10,"MONTGOMERY (MABEL)",73,NA,NA,35,41.7740243,-87.697246
"Marsh Elem School",0.2,5,"VETERANS' MEMORIAL",82,NA,NA,53,41.7164106,-87.5531052
"Marshall Metropolitan High School",0.4,8,"PARK NO. 422",1,375.1,364.1,0,41.8790699,-87.706562
"Mason Elem School",0.2,4,"PRITZKER",18,NA,NA,5,41.8781136,-87.6297982
"Mather High School",0.4,10,"GREEN BRIAR",58,446.4,440.1,98,41.9880646,-87.701245
"Mayer Elem School",0.2,3,"TREBES",260,NA,NA,90,41.9232391,-87.6580394
"Mays Elem Academy",0.5,11,"HARRIS (RYAN) MEMORIAL",6,NA,NA,8,41.7727249,-87.6464239
"McAuliffe Elem School",0.2,5,"BEILFUSS (ALBERT W.)",46,NA,NA,34,41.914727,-87.7236413
"McCormick Elem School",0.3,7,"MIAMI",16,NA,NA,25,41.8420191,-87.7065838
"McCutcheon Elem School",0.2,4,"PRITZKER",39,NA,NA,12,41.8781136,-87.6297982
"McDade Elem Classical School",0.5,11,"COLE (NAT KING)",97,NA,NA,32,41.7343416,-87.6186754
"McDowell Elem School",0.2,4,"PRITZKER",28,NA,NA,4,41.8781136,-87.6297982
"McKay Elem School",0.2,4,"PRITZKER",43,NA,NA,19,41.8781136,-87.6297982
"McNair Elem School",0.2,4,"PRITZKER",20,NA,NA,14,41.8781136,-87.6297982
"McPherson Elem School",0.2,4,"PRITZKER",82,NA,NA,36,41.8781136,-87.6297982
"Melody Elem School",0.2,4,"PRITZKER",12,NA,NA,4,41.8781136,-87.6297982
"Metcalfe Elem Community Academy",0.3,6,"WEST PULLMAN",14,NA,NA,7,41.6695189,-87.6342049
"Minnie Minoso Academy",0.1,3,"MCKEON (JOSEPH)",63,NA,NA,18,41.8303859,-87.6409625
"Mireles Elem Academy",0.2,4,"PRITZKER",39,NA,NA,28,41.8781136,-87.6297982
"Mitchell Elem School",0.4,10,"SMITH (JOSEPH HIGGINS)",120,NA,NA,54,41.8919313,-87.6834719
"Mollison Elem School",0.2,5,"BIRCH",6,NA,NA,16,41.8143614,-87.615933
"Monarcas Academy",0.5,12,"SENKA (EDWARD ""DUKE"")",89,NA,NA,51,41.787441,-87.70774
"Monroe Elem School",0.4,9,"KOSCIUSZKO (THADEUZ)",75,NA,NA,53,41.9295238,-87.7190828
"Montessori of Englewood Chtr ES",0.5,12,"HARRIS (RYAN) MEMORIAL",22,NA,NA,14,41.775305,-87.6416419
"Moos Elem School",0.3,7,"FLOWER (LUCY)",36,NA,NA,22,41.9130714,-87.696335
"Morgan Park High School",0.4,10,"BOHN (HENRY)",29,414.9,393.3,27,41.6922322,-87.6653314
"Morrill Elem Math & Sci School",0.2,4,"PRITZKER",41,NA,NA,35,41.8781136,-87.6297982
"Morton Elem Career Academy",0.2,4,"PRITZKER",26,NA,NA,4,41.8781136,-87.6297982
"Mosaic School of Fine Arts",0.4,10,"CHIPPEWA",121,NA,NA,61,42.004099,-87.6979775
"Mount Greenwood Elem School",0.6,13,"MCKIERNAN (DAVID)",347,NA,NA,208,41.6915904,-87.7008049
"Mount Vernon Elem School",0.2,5,"ROBINSON (JACKIE)",24,NA,NA,4,41.7022519,-87.648286
"Moving Everest Charter School",0.2,5,"KINZIE (JOHN) PKWY.",75,NA,NA,35,41.8883984,-87.755732
"Mozart Elem School",0.3,7,"MOZART (AMADEUS)",44,NA,NA,27,41.9213348,-87.7224165
"Multicultural Arts High School",0.2,4,"PRITZKER",3,424.3,395.9,11,41.8781136,-87.6297982
"Murphy Elem School",0.3,6,"ATHLETIC FIELD",83,NA,NA,49,41.9497364,-87.7170874
"Murray Elem Language Academy",0.1,3,"NICHOLS (JOHN FOUNTAIN)",95,NA,NA,39,41.7982087,-87.5925169
"Namaste Elem Charter School",0.2,4,"PRITZKER",21,NA,NA,21,41.8781136,-87.6297982
"Nash Elem School",0.2,4,"OHIO",5,NA,NA,3,41.8920473,-87.7474209
"National Teachers Elem Academy",0.2,4,"PRITZKER",154,NA,NA,69,41.8781136,-87.6297982
"Neil Elem School",0.4,9,"COLE (NAT KING)",24,NA,NA,12,41.7386314,-87.6205909
"Nettelhorst Elem School",0.2,5,"EVERGREEN",182,NA,NA,76,41.9415615,-87.644596
"New Field Elem School",0.4,10,"MATANKY (EUGENE)",26,NA,NA,NA,42.0076293,-87.6724472
"Newberry Elem Math & Science Acad",0.2,4,"PRITZKER",75,NA,NA,37,41.8781136,-87.6297982
"Nicholson Technology Acad Elem Sch",0.2,4,"PRITZKER",22,NA,NA,10,41.8781136,-87.6297982
"Nightingale Elem School",0.6,14,"GAGE (GEORGE)",115,NA,NA,62,41.798873,-87.6898929
"Ninos Heroes Elem Academic Ctr",0.3,6,"RUSSELL (MARTIN) SQUARE",19,NA,NA,17,41.7441729,-87.553054
"Nixon Elem School",0.5,10,"MOZART (AMADEUS)",31,NA,NA,19,41.9191324,-87.7312732
"Nobel Elem School",0.4,9,"PARK NO. 414",75,NA,NA,45,41.9057726,-87.7297953
"Noble St Chtr - Mansueto",0.4,8,"ECKHART (BERNARD)",37,461,440.1,78,41.899793,-87.6625001
"Noble St Chtr Rauner College Prep",0.2,5,"BICKERDIKE (GEORGE) SQUARE",14,444.8,431.6,39,41.8922624,-87.661187
"Noble St Chtr-Baker Campus",0.4,8,"ECKHART (BERNARD)",4,432.7,399.8,4,41.899793,-87.6625001
"Noble St Chtr-Butler College Prep - Crimson",0.2,4,"PARK NO. 588",8,416.6,399.4,18,41.7060894,-87.6028575
"Noble St Chtr-Chicago Bulls Prep",0.5,12,"PARK NO. 578",24,435.7,425.6,30,41.8789084,-87.6781797
"Noble St Chtr-Comer College Prep",0.4,8,"ECKHART (BERNARD)",77,403.8,395.4,52,41.899793,-87.6625001
"Noble St Chtr-DRW Trading College Prep",0.2,4,"PRITZKER",4,428.3,406.8,16,41.8781136,-87.6297982
"Noble St Chtr-Golder College Prep",0.3,6,"ECKHART (BERNARD)",18,439.9,404.9,19,41.8954949,-87.6644366
"Noble St Chtr-Hansberry College Prep - Silver",0.6,13,"THE GROVE",4,412.7,396.9,10,41.7343941,-87.6510999
"Noble St Chtr-ITW Speer Acad",0.8,17,"BLACKHAWK",34,456,433.2,69,41.9174184,-87.759616
"Noble St Chtr-Johnson College Prep",0.1,3,"JUNCTION GROVE",5,410.8,396.2,5,41.778394,-87.635484
"Noble St Chtr-Muchin College Prep",0.4,10,"PRITZKER",34,449.5,434.6,65,41.8823418,-87.6273168
"Noble St Chtr-Noble Campus",0.4,8,"ECKHART (BERNARD)",26,456.5,449.1,41,41.899793,-87.6625001
"Noble St Chtr-Pritzker College Prep",0.3,7,"KEYSTONE",40,461.4,437.3,66,41.9149225,-87.7297441
"Noble St Chtr-Rowe-Clark MS Acad",0.2,4,"CENTRAL",0,402.1,382.4,2,41.8952478,-87.7182733
"Noble St Chtr-The Noble Academy",0.2,3,"PARK NO. 598",16,446.7,408.2,14,41.9074558,-87.6454041
"Noble St Chtr-UIC College Prep",0.7,16,"LIVINGSTON FIELD",30,444,426.9,63,41.8656136,-87.6760518
"North Lawndale Prep Chtr - Christiana",0.1,3,"CHRISTIANA",1,397.6,387.6,2,41.8584921,-87.7088287
"North Lawndale Prep Chtr-Collins",0.1,3,"CHRISTIANA",0,391.6,386.1,2,41.8584921,-87.7088287
"North River Elem School",0.1,3,"JENSEN (CHRIST)",30,NA,NA,17,41.9662854,-87.7218021
"North-Grand High School",0.1,3,"GREENEBAUM (HENRY)",9,416.6,406.7,45,41.9124219,-87.7349604
"Northside College Preparatory Hs",0.5,11,"LEGION",233,652.5,649.9,225,41.9813057,-87.7078996
"Northwest Middle School",0.5,11,"BLACKHAWK",33,NA,NA,27,41.9207688,-87.7579486
"Norwood Park Elem School",0.2,5,"NORWOOD CIRCLE",120,NA,NA,38,41.9892467,-87.8026788
"Ogden Elem School",0.2,5,"CONNORS (WILLIAM)",109,NA,NA,77,41.9002367,-87.6290717
"Ogden Int High School",0.4,8,"ECKHART (BERNARD)",32,482.9,463.9,27,41.8937679,-87.658807
"Oglesby Elem School",0.4,10,"LELAND GIANTS",16,NA,NA,11,41.7548071,-87.6460264
"OKeeffe Elem School",0.2,4,"PRITZKER",42,NA,NA,17,41.8781136,-87.6297982
"Onahan Elem School",0.4,9,"CENTENNIAL",177,NA,NA,102,41.9940608,-87.792853
"Oriole Park Elem School",0.2,5,"ORIOLE",223,NA,NA,79,41.97848,-87.812414
"Orozco Elem Fine Arts & Sciences",0.4,8,"HARRISON (CARTER)",83,NA,NA,39,41.8578369,-87.6750892
"Orr Academy High School",0.1,3,"ORR (REZIN)",4,403.7,373,3,41.893927,-87.726435
"Ortiz De Dominguez Elem School",0.5,10,"MIAMI",NA,NA,NA,NA,41.8383226,-87.7173837
"Otis Elem School",0.6,13,"ECKHART (BERNARD)",31,NA,NA,10,41.8916477,-87.665066
"OToole Elem School",0.3,6,"WOLCOTT (ALEXANDER)",17,NA,NA,14,41.7741847,-87.6753338
"Owen Elem Scholastic Academy",0.2,4,"PRITZKER",32,NA,NA,21,41.8781136,-87.6297982
"Owens Community Academy ES",0.2,4,"PRITZKER",36,NA,NA,11,41.8781136,-87.6297982
"Palmer Elem School",0.3,7,"NORTH MAYFAIR",151,NA,NA,65,41.9729604,-87.7386366
"Park Manor Elem School",0.4,9,"MEYERING (WILLIAM)",20,NA,NA,14,41.7664822,-87.6114758
"Parker Elem Community Academy",0.6,12,"HARRIS (RYAN) MEMORIAL",28,NA,NA,10,41.770906,-87.632691
"Parkside Elem Community Academy",0.3,7,"NASH (DON) COMM. CTR.",25,NA,NA,7,41.7669787,-87.583381
"Pasteur Elem School",0.2,4,"PRITZKER",64,NA,NA,NA,41.8781136,-87.6297982
"Payton College Preparatory HS",0.2,5,"SEWARD (WILLIAM)",257,665.3,667.2,255,41.9016989,-87.6350785
"Peck Elem School",0.6,15,"PASTEUR (LOUIS)",49,NA,NA,NA,41.7881027,-87.7197213
"Peirce Elem Intl Studies School",0.2,5,"COCHRAN (JOHN)",189,NA,NA,86,41.9831729,-87.6663791
"Penn Elem School",0.3,6,"NINEBARK",10,NA,NA,23,41.8583525,-87.7218487
"Perez Elem School",0.2,3,"THROOP (AMOS GAGER)",44,NA,NA,34,41.8556781,-87.6579588
"Pershing Elem Humanities Magnet",0.2,4,"PRITZKER",57,NA,NA,31,41.8781136,-87.6297982
"Perspectives Chtr -  IIT Campus",0.5,10,"ARMOUR (PHILIP) SQUARE",4,393.3,366.1,9,41.8348731,-87.6270059
"Perspectives Chtr - High School of Technology",0.2,4,"PRITZKER",2,396.3,381.2,2,41.8781136,-87.6297982
"Perspectives Chtr - Joslin Campus",0.2,5,"LIN (MARGARET HIE DING)",8,402.2,374.2,14,41.8561782,-87.6284637
"Perspectives Chtr - Leadership Acad",0.2,4,"PRITZKER",29,405.6,386.5,19,41.8781136,-87.6297982
"Peterson Elem School",0.7,16,"KIWANIS",171,NA,NA,107,41.9817786,-87.7129092
"Phillips Academy High School",0.2,5,"ANDERSON (LOUIS)",1,380.9,372.7,10,41.8240527,-87.6198054
"Phoenix Military Academy HS",0.1,3,"PARK NO. 574",13,458.1,447.6,30,41.8786771,-87.6882694
"Piccolo Elem Specialty School",0.3,8,"PARK NO. 414",15,NA,NA,27,41.9002223,-87.7318077
"Pickard Elem School",0.4,9,"BARRETT (JOHN)",68,NA,NA,25,41.8528427,-87.684009
"Pilsen Elem Community Academy",0.3,7,"ADDAMS (JANE)",17,NA,NA,8,41.8590612,-87.6631477
"Pirie Elem Fine Arts & Academic C",0.2,5,"BROWN (SIDNEY) MEML.",7,NA,NA,6,41.7406945,-87.6082591
"Plamondon Elem School",0.2,4,"PRITZKER",13,NA,NA,8,41.8781136,-87.6297982
"Plato Learning Acad  Elem School",0.4,9,"COLUMBUS (CHRISTOPHER)",8,NA,NA,6,41.8725092,-87.7635954
"Poe Elem Classical School",0.2,5,"PARK NO. 588",111,NA,NA,32,41.702492,-87.6066076
"Polaris Elem Charter Academy",0.2,5,"SNAPPING TURTLE",24,NA,NA,17,41.8923248,-87.7081276
"Portage Park Elem School",0.2,5,"PORTAGE",110,NA,NA,79,41.9571504,-87.7611042
"Powell Elem Paideia Comm Academy",0.2,4,"PRITZKER",34,NA,NA,31,41.8781136,-87.6297982
"Prescott Elem School",0.2,5,"WRIGHTWOOD",186,NA,NA,58,41.929076,-87.6692398
"Prieto Math-Science Elem Sch",0.9,20,"BLACKHAWK",81,NA,NA,35,41.9211281,-87.7651593
"Pritzker Elem School",0.1,3,"WICKER (CHARLES, JOEL)",272,NA,NA,108,41.9068861,-87.6780938
"Prosser Career Academy HS",0.7,15,"BLACKHAWK",43,457.5,432.5,97,41.9194252,-87.7618878
"Providence-Englewood Elem Charter",0.4,10,"WOLCOTT (ALEXANDER)",28,NA,NA,36,41.7752003,-87.6637159
"Prussing Elem School",0.7,16,"JEFFERSON (THOMAS) MEML.",120,NA,NA,64,41.9656465,-87.7727431
"Pulaski Intl Sch of Chicago",0.3,6,"HOLSTEIN",238,NA,NA,92,41.9188445,-87.683846
"Pullman Elem School",0.2,6,"PARK NO. 573",19,NA,NA,12,41.6886423,-87.608841
"Raby High School",0.2,5,"SAINT LOUIS",4,376.3,385.3,0,41.8861417,-87.7153641
"Randolph Elem School",0.2,4,"PRITZKER",34,NA,NA,18,41.8781136,-87.6297982
"Ravenswood Elem School",0.2,4,"ZATTERBERG (HELEN)",190,NA,NA,84,41.9611254,-87.671464
"Ray Elem School",0.1,3,"BIXLER (RAY)",60,NA,NA,33,41.7922303,-87.5943728
"Reavis Elem Math & Sci Spec Schl",0.5,11,"SYCAMORE",11,NA,NA,10,41.8043999,-87.6054312
"Reilly Elem School",0.2,4,"PRITZKER",59,NA,NA,47,41.8781136,-87.6297982
"Reinberg Elem School",0.4,8,"CHOPIN (FREDERIC)",86,NA,NA,60,41.9426843,-87.7685945
"Revere Elem School",0.2,4,"PRITZKER",2,NA,NA,0,41.8781136,-87.6297982
"Richards Career Academy HS",0.2,5,"PACKINGTOWN",0,362.2,359.1,1,41.8024879,-87.6614681
"Richardson Middle School",0.6,13,"PASTEUR (LOUIS)",203,NA,NA,181,41.7834851,-87.7257117
"Rickover Naval Academy High Schl",0.3,6,"SENN (NICHOLAS)",25,465.5,441.2,39,41.9890128,-87.6667743
"Robinson Elem School",0.2,4,"PRITZKER",7,NA,NA,NA,41.8781136,-87.6297982
"Rogers Elem School",0.2,5,"ROGERS (PHILLIP)",168,NA,NA,86,42.0153797,-87.69676
"Roosevelt High School",0.4,10,"JENSEN (CHRIST)",10,410.3,396,56,41.9657534,-87.714339
"Rowe Elementary",0.1,3,"PARK NO. 536",88,NA,NA,76,41.9078008,-87.664446
"Ruggles Elem School",0.2,4,"PRITZKER",29,NA,NA,12,41.8781136,-87.6297982
"Ruiz Elem School",0.5,12,"BARRETT (JOHN)",56,NA,NA,41,41.8479002,-87.6812235
"Ryder Elem Math & Sci Spec School",0.2,4,"PRITZKER",24,NA,NA,16,41.8781136,-87.6297982
"Sabin Elem Magnet School",0.4,9,"PARK NO. 399",19,NA,NA,9,41.9071146,-87.6828916
"Sadlowski Elementary School",0.3,6,"BENIAC (JOHN ""BEANS"") GREENWAY",48,NA,NA,39,41.7047607,-87.5280524
"Salazar Elem Bilingual Center",0.3,7,"SEWARD (WILLIAM)",29,NA,NA,33,41.9015236,-87.633916
