OBJECTID,GEOID,GEOG,2000_POP,2010_POP,2020_POP,2020_HH,2020_HH_SIZE,TOT_POP,UND5,A5_19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,TOT_WRKR16OV,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,INCPERCAP,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_5_9UN,HU_10_19UN,HU_GT_19UN,HU_MOBILE,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,CASHRENT_HH,RENT_LT500,RENT_500_999,RENT_1000_1499,RENT_1500_2499,RENT_GT2500,MED_RENT,COMPUTER,ONLY_SMARTPHONE,NO_COMPUTER,INTERNET,BROADBAND,NO_INTERNET,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,IDES_START_EMP,IDES_MID_EMP,IDES_CURR_EMP,AVG_VMT,RET_SALES,GEN_MERCH,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,TRANSIT_LOW_PCT,TRANSIT_MOD_PCT,TRANSIT_HIGH_PCT,WALKABLE_LOW_PCT,WALKABLE_MOD_PCT,WALKABLE_HIGH_PCT,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc,CT_1PHH,CT_2PHH,CT_3PHH,CT_4MPHH,CT_FAM_HH,CT_SP_WCHILD,CT_NONFAM_HH,HCUND20K,HCUND20K_LT20PCT,HCUND20K_20_29PCT,HCUND20K_30MPCT,HC20Kto49K,HC20Kto49K_LT20PCT,HC20Kto49K_20_29PCT,HC20Kto49K_30MPCT,HC50Kto75K,HC50Kto75K_LT20PCT,HC50Kto75K_20_29PCT,HC50Kto75K_30MPCT,HCOV75K,HCOV75K_LT20PCT,HCOV75K_20_29PCT,HCOV75K_30MPCT,NATIVE,FOR_BORN,POP_OV5,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,2000_WHITE,2000_HISP,2000_BLACK,2000_ASIAN,2000_OTHER,2000_UND19,2000_A20_34,2000_A35_49,2000_A50_64,2000_OV65,2000_MED_AGE,2000_TOT_HH,2000_OWN_OCC_HU,2000_RENT_OCC_HU,2000_VAC_HU,2000_HU_TOT,2000_LT_HS,2000_HS,2000_SOME_COLL,2000_ASSOC,2000_BACH,2000_GRAD_PROF,2000_POP_25OV,HT_Cost_Typical,HT_Cost_Mod,H_Cost_Typical,H_Cost_Mod,T_Cost_Typical,T_Cost_Mod,highly_walkable_pop_pct,highly_walkable_emp_pct,assoc_plus_pct,in_lbr_frc_pct,pct_pop_access_4_acres_per_1k,pct_pop_access_10_acres_per_1k,impervious_acres_per_hh,modhigh_ta_pop_pct,modhigh_ta_emp_pct,nonsov_pct
11,60,Bridgeport,33694,31977,33702,13339,2.523802384,34387.33607,1583.737705,5423.590164,8851.631148,7177.081967,6278.229508,3271.754098,1110.434426,690.8770492,37.43527985,11808.84426,7853.92623,832.8278689,13426.7377,465,34350.48502,28553.88071,19526.45785,18281.18227,1239.275575,9027.422859,17876.7071,1892.24092,15984.46618,8553.848384,2432.525825,3527.096634,1039.995335,431,488258.6838,2309.730873,6204.721872,3872.80288,988.3789379,25367.2623,4640.180328,6420.721311,3555.991803,1111.057377,6045.327869,3593.983607,2688.838802,2208.587732,2528.165478,1683.202568,2289.560628,1977.671897,68079.95144,35393.1328,13376.0271,6698.405836,6678.603448,968.0584879,14345.13395,4050.812997,563.6816976,4304.145889,3238.149867,1294.781167,156,737.5623342,0,5.530131644,2287.687003,1918.240053,2103.737401,8035.469496,1934.630665,1824.945623,5179.374005,5502.809019,1300.224138,537.7811671,452.89301,1861.630528,2829.378031,1478.854494,357099.7717,6386.699001,91,2031.18117,3012.14408,1211.015692,41.35805991,1162.173165,12510.73324,1084.186876,865.2938659,12366.1826,12086.1826,1009.844508,13960,Accommodation and Food Service,Health Care,Education,Professional,Retail Trade,2049,1652,1321,1211,1158,5190,Manufacturing,Retail Trade,Accommodation and Food Service,Finance,Wholesale Trade,1738,512,495,423,412,Outside of Chicago,The Loop,Near North Side,Near West Side,Armour Square,4130,2885,1202,1039,732,Outside of Chicago,Bridgeport,Brighton Park,New City,McKinley Park,2011,601,177,152,126,,,,11931.72735,,,,,,,,,,0,0,1,0,0,1,1.952610297,1338.190026,259.8422098,0.194174373,222.897019,0.166566044,30.51134875,0.02280046,63.61926245,0.047541277,34.51899979,0.02579529,127.6802677,0.095412658,492.1582541,0.367779048,0,0,47.6582835,0.035613988,59.30438045,0.04431686,4075.912981,4270.271041,2308.346648,2721.496434,7602.232525,860.5506419,5773.794579,1626.879388,24,68,1534.879388,2849.812781,183.7974797,673.8244824,1992.190819,2509.852385,705.770477,1073.675968,730.4059406,5863.548155,4457.80198,955.5562556,450.189919,22788.21993,11597.82872,32802.56781,17672.46151,9058.863379,15130.1063,5014.481839,265.6804399,10407.31889,149.925025,237,117,583.88004,828.1752749,69,13819,10165,354,8808,548,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.405510907,0.793971483,0.098209715,0,0.084343407,1,1,0.501616496
12,58,Brighton Park,44912,45368,45053,13592,3.313566804,43197,3094,10148,10990,7619,7066,2847,1119,314,31.16889729,3325,34790,474,4280,328,43182,32350,19910,17965,1922,12440,17070,735,16335,9529,3225,2932,459,190,532160,1880,5266,3823,1729,26553,8181,10013,3498,1535,2389,937,2947,3651,2528,1370,1578,624,47962.35679,18650.76996,12698,6447,6251,1223,13921,4094,373,6345,2452,439,83,92,43,5.571920428,492,1485,4311,7633,1935.594786,1054,5977,4827,1447,616,1152,4399,732,137,203172.0078,6050,187,3406,2096,361,0,932.0574163,11418,1850,1280,10727,10300,1971,13468,Accommodation and Food Service,Manufacturing,Health Care,Retail Trade,Administration,1898,1832,1456,1448,1394,5627,Manufacturing,Administration,Retail Trade,Other Service,Accommodation and Food Service,1449,862,810,599,544,Outside of Chicago,The Loop,Near North Side,Near West Side,Brighton Park,4990,1661,900,894,573,Outside of Chicago,Brighton Park,Gage Park,South Lawndale,Chicago Lawn,2398,573,214,183,150,,,,12869.72062,,,,,,,,,,0,0,1,0,0.069713135,0.930286865,0.910937307,1742.258702,247.57838,0.142101962,304.477099,0.174759982,27.17088548,0.015595207,95.50102161,0.05481449,55.00031465,0.031568397,248.7816002,0.142792571,698.9604426,0.401180629,0,0,8.008538658,0.004596642,56.78041949,0.03259012,2314,2543,2738,5103,9765,1654,2933,1553,0,56,1497,4706,438,1031,3237,2507,1066,681,760,3511,2937,454,120,26030,17167,40103,33357,17055,6746,28886,135,3586,54,229,12,71,154,230,8300,34409,221,1288,694,,,,,,,,,,,,,,,,,,,,,,,,,0.941762712,0.836682028,0.158346484,0.744759653,0,0,0.104975607,1,1,0.443580449
13,47,Burnside,3294,2916,2527,1036,2.439189189,2652,115,366,430,600,535,329,177,100,42.84090909,43,138,2389,0,82,2652,2208,1308,1027,281,900,1027,180,847,474,98,275,0,0,46445,369,262,305,106,1982,288,699,479,144,196,176,253,283,201,53,146,106,45588.23529,25075.75113,1042,556,486,266,1308,750,57,212,57,23,0,189,20,6.077253219,275,89,522,422,1954.045175,258,283,477,290,0,292,175,0,89,143137.2549,474,103,245,126,0,0,738.3928571,816,104,226,825,813,217,826,Health Care,Administration,Retail Trade,Transportation,Education,179,92,83,75,67,1855,Transportation,Manufacturing,Health Care,Retail Trade,Wholesale Trade,1088,472,139,91,33,Outside of Chicago,The Loop,Near North Side,Near West Side,Chatham,307,174,60,45,17,Outside of Chicago,South Shore,Roseland,Auburn Gresham,Chatham,793,79,68,63,54,,,,12789.11079,,,,,,,,,,0,0,1,0,0,1,1.001540702,390.1740839,66.40607844,0.170196026,13.67713354,0.035053926,1.649768543,0.004228288,14.6036423,0.03742853,7.372730827,0.018896003,119.9204854,0.307351232,126.8293031,0.325058245,0,0,7.01995182,0.017991845,32.69498998,0.083795904,449,186,147,260,502,117,540,195,0,51,144,322,25,167,130,201,144,57,0,305,173,132,0,2543,109,2537,165,29,2372,67,0,0,0,0,0,0,68,30,40,34,3180,7,33,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.273678094,0.821181888,0,0,0.25506047,1,1,0.37254902
14,48,Calumet Heights,15974,13812,13088,5518,2.371692642,12843,671,1567,2410,2038,2856,1782,1027,492,48.47988506,78,399,12222,0,144,12837,10810,6254,5697,557,4556,5590,986,4604,3213,269,969,65,88,189020,1040,2567,1483,493,9763,489,2148,2725,776,2091,1534,1194,1016,774,990,1012,597,67195.94595,36736.39407,5583,4029,1554,682,6265,4465,116,471,746,193,136,35,103,6.609640832,75,369,4277,1544,1949.500598,207,1805,3162,929,162,1194,2620,176,39,176415.5052,1501,81,420,773,227,0,1138.303769,5026,638,557,4944,4887,639,4906,Health Care,Education,Public Administration,Administration,Retail Trade,894,647,456,454,408,2101,Health Care,Retail Trade,Accommodation and Food Service,Transportation,Administration,1386,221,99,67,66,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,1545,1377,384,317,128,Outside of Chicago,South Shore,Calumet Heights,South Chicago,East Side,1320,50,33,30,28,,,,12532.8193,,,,,,,,,,0,0,1,0,0,1,1.4765814,1120.896272,434.5013427,0.387637423,49.29013318,0.043973858,3.942085457,0.003516905,35.99963874,0.032116833,30.87906823,0.027548551,12.35702751,0.011024238,462.2533079,0.412396151,0,0,21.47957717,0.019162859,70.19409098,0.062623182,2277,1800,781,725,3015,465,2568,808,0,26,782,1305,355,232,718,752,317,296,139,2574,2070,359,145,12493,350,12172,620,201,11552,295,1,0,0,0,0,0,207,117,206,747,14817,33,171,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.431983385,0.799535828,0,0,0.133898666,1,1,0.441203117
15,44,Chatham,37275,31028,31710,15053,2.106423969,32527.73344,1817.775738,5991.818037,6086.505188,5709.106145,7458.671189,3031.713488,1588.329609,843.8140463,40.99745593,227,238,31531.73344,77,454,32509.9272,26711.1234,15497.11699,13140.64327,2305.473718,11214.00641,12987.13654,1486.871795,11500.26474,6741.598077,789.9426282,3571.737821,307.6375,89.34871795,433944.1875,4474.114038,6814.906532,2574.186214,820.7971851,23203.77095,2924.872306,5403.901038,6166.736632,2045.596967,4243.163607,2419.500399,5044.291188,3644.172414,2232.873563,1393,1438.130268,934.0651341,40334.84556,27596.57956,14686.53257,5755.965636,8928.347079,2653.249042,17337.02062,5550.494845,891.7560137,1389.030928,3928.752577,3571,1406.027491,599.9587629,0,5.647952694,646,1918.058419,7776.436426,6996.525773,1946.200063,4394.958763,5705.766323,5251.43299,1583.250859,401.6116838,1958.37931,3258.318008,314.4137931,216,172324.1256,8828.421456,651,4927.130268,2700.83908,549.4521073,0,897.840604,12861.73563,2961.145594,1824.796935,11226.73563,10860.73563,3459.796935,10384,Health Care,Administration,Education,Accommodation and Food Service,Transportation,1979,1230,1167,904,872,3959,Retail Trade,Other Service,Transportation,Accommodation and Food Service,Health Care,1575,625,418,416,271,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,3063,2496,965,730,225,Outside of Chicago,Chatham,Auburn Gresham,Roseland,South Shore,2049,145,109,100,94,,,,10476.87839,,,,,,,,,,0,0,1,0,0,1,1.748514107,1889.822546,526.8833303,0.278800426,255.4525466,0.135172769,16.81255213,0.008896366,179.4804371,0.094972111,70.8454826,0.037487902,48.59008137,0.025711452,684.1977553,0.362043387,0,0,41.72257964,0.022077512,65.83778071,0.034838076,7313.130268,3604.084291,1570.498084,2198.819923,6654.402299,1824.256705,8032.130268,3660.822086,37,191,3432.822086,4342.456514,486.8733309,1416.457957,2439.125226,2204.540599,1025.671238,800.8083724,378.0609888,3763.989895,2898.543125,792.2735475,73.17322266,31799.80929,721.2913462,30705.63782,1013.209295,122.0788462,29692.42853,525.4413462,2.005448718,8.82275641,0,0,0.354166667,0.561217949,253.3596154,222.6647436,121,220,36538,24,372,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.348501608,0.712717827,0.155160895,0,0.0850179,1,1,0.442645595
16,66,Chicago Lawn,61412,55628,55931,17041,3.280558653,51169,3926,10460,12461,9453,7521,4183,2799,366,33.2657967,1127,28881,20005,121,1035,51054,39648,23688,19570,4102,15960,19037,799,18238,10894,3780,3117,225,222,696625,4308,6835,3777,2261,32498,7772,13300,6571,1902,2033,920,5847,4734,2691,1695,1443,771,38434.84419,18742.86971,17181,7630,9551,2142,19323,7974,189,4481,3803,1585,608,608,75,5.607530382,380,2944,9354,6645,1950.561052,2809,7684,5515,2064,1251,2527,4770,222,111,171142.4819,9368,979,4848,2784,728,29,913.2776935,14075,2940,3106,13315,12785,3866,17161,Health Care,Administration,Manufacturing,Accommodation and Food Service,Retail Trade,2405,2059,1895,1884,1742,4129,Retail Trade,Health Care,Accommodation and Food Service,Other Service,Administration,1371,1340,392,235,147,Outside of Chicago,The Loop,Near North Side,Near West Side,West Lawn,7387,2366,1011,936,363,Outside of Chicago,Chicago Lawn,West Lawn,Ashburn,Auburn Gresham,1900,291,135,118,95,,,,12065.68657,,,,,,,,,,0,0,1,0,0.000150605,0.999849395,1.479580829,2256.186163,670.9217669,0.297369862,254.682802,0.112881998,32.87763482,0.014572217,107.0472248,0.047446096,65.3564962,0.028967688,58.34841604,0.025861526,705.5376729,0.312712525,0,0,308.4198045,0.136699626,52.99434479,0.023488463,5774,3828,2822,4757,11034,2246,6147,2836,47,164,2625,7278,780,1397,5101,2674,1304,732,638,3890,3126,622,142,38785,12384,47243,25078,10813,22165,24504,25,27,72,0,0,48,250,152,6190,21534,32240,393,1055,,,,,,,,,,,,,,,,,,,,,,,,,0.999946663,0.998292058,0.14524772,0.753484231,0,0,0.087825592,1,1,0.395266895
17,64,Clearing,22331,23139,24473,8884,2.754502476,25507,1749,5193,5276,5746,4641,1666,699,537,36.19852283,9355,15285,506,153,208,25496,19650,12942,11812,1130,6708,11680,578,11102,8725,903,971,328,175,354700,884,3512,3333,1293,17212,2181,5929,3574,1634,2998,896,1168,2413,1652,1149,1706,934,64546.33205,29732.73372,9022,6278,2744,417,9439,5270,745,827,790,1432,235,114,26,5.644094265,404,1931,6071,1033,1958.750906,1184,2566,4232,874,583,1019,4014,1150,80,237853.2047,2635,22,1046,1141,403,23,1084.290541,7993,906,1029,7955,7797,1067,10538,Education,Health Care,Public Administration,Manufacturing,Retail Trade,1162,1139,1041,981,953,3132,Manufacturing,Construction,Administration,Accommodation and Food Service,Retail Trade,689,654,424,356,256,Outside of Chicago,The Loop,Near West Side,Near North Side,Garfield Ridge,4478,2439,584,508,303,Outside of Chicago,Clearing,Garfield Ridge,Chicago Lawn,Brighton Park,2075,195,71,69,53,,,,15075.0607,,,,,,,,,,0,0,1,0,0.013322206,0.986677794,1.914385712,1633.269018,516.9940906,0.316539459,78.66794726,0.048165946,10.06349142,0.006161564,43.39318979,0.026568305,20.76789934,0.012715541,125.1741582,0.076640258,778.7650245,0.476813688,0,0,34.91845989,0.021379491,24.52475709,0.015015749,2683,1998,1389,2952,5990,665,3032,785,0,17,768,2591,450,719,1422,1652,642,504,506,3730,2937,710,83,19812,5695,23758,13435,4937,10323,11713,1332,0,0,85,29,33,243,0,17047,4688,137,152,307,,,,,,,,,,,,,,,,,,,,,,,,,1,0.943423471,0.309134906,0.771142285,0.141194171,0,0.139583181,1,1,0.25050992
18,35,Douglas,26470,18238,20291,9878,1.871228994,21278,1146,3178,7024,3062,3474,2054,870,470,33.14882507,2411,1241,13688,2971,967,18948,18357,10315,8780,1535,8042,8387,1089,7298,3339,438,2324,775,422,231050,4529,4496,1147,160,14466,1475,2503,3425,906,3274,2883,3867,1932,1977,859,954,743,38119.26606,30677.71022,10332,1995,8337,1045,11377,674,632,266,537,407,303,8558,0,4.072860054,1222,3264,5003,1888,1962.930629,5611,3577,1479,453,257,387,876,457,275,245655.7377,8195,1906,1617,3077,1530,65,1081.837607,9446,1809,886,9010,8735,1322,7102,Health Care,Education,Administration,Professional,Accommodation and Food Service,1208,828,724,696,617,6709,Education,Administration,Health Care,Retail Trade,Accommodation and Food Service,2349,938,808,750,627,The Loop,Outside of Chicago,Near North Side,Near West Side,Douglas,1975,1711,785,644,186,Outside of Chicago,Douglas,South Shore,Auburn Gresham,Near North Side,2564,186,183,137,127,,,,7338.207171,,,,,,,,,,0,0,1,0,0,1,8.690265676,1052.858937,71.4476601,0.06786062,168.6160234,0.160150631,3.522128502,0.0033453,57.35627918,0.054476699,193.1300311,0.18343391,1.215505283,0.001154481,369.5374489,0.350984767,0,0,74.0204185,0.070304213,114.0134423,0.108289381,5963,2612,1011,746,3532,961,6800,2626,140,389,2097,2305,367,544,1394,1958,338,1075,545,2542,1630,703,209,16757,4521,20132,4837,1766,15295,773,191,1099,55,233,142,357,1353,634,1745,295,22635,1390,405,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.493141146,0.672750488,1,0.125616786,0.072543927,1,1,0.558102863
19,17,Dunning,42164,41932,43147,15746,2.72837546,44277,1936,7777,7895,8894,10489,4036,2458,792,43.18143531,24966,15190,1091,2370,660,44061,36874,24446,23191,1239,12428,22612,1395,21217,16694,2050,1483,343,647,769685,861,6289,6390,2755,32280,3419,10436,7474,2459,5608,2884,2378,2594,2901,2436,3086,2900,77817.11823,35965.76559,16295,12749,3546,983,17278,11270,288,1608,1036,1322,320,1373,61,5.894712103,1143,3480,8008,4647,1954.137056,1779,5939,6279,2371,910,922,6772,4742,268,280159.6688,3243,83,1012,1329,728,91,1163.306452,14770,1111,1525,13817,13358,2478,20094,Health Care,Retail Trade,Education,Manufacturing,Accommodation and Food Service,2468,2124,1907,1881,1596,5394,Health Care,Retail Trade,Education,Administration,Accommodation and Food Service,919,825,651,540,448,Outside of Chicago,The Loop,Near North Side,Near West Side,Dunning,10232,3353,857,746,529,Outside of Chicago,Dunning,Portage Park,Belmont Cragin,Norwood Park,2570,529,181,126,98,,,,14811.8365,,,,,,,,,,0,0,1,0,0.015763136,0.984236864,1.048829699,2378.213985,1012.034438,0.425543893,138.0661808,0.058054566,21.63594813,0.009097562,66.40632824,0.027922773,358.1549195,0.150598273,27.77375911,0.01167841,641.2899573,0.269651916,0.085958142,3.61E-05,74.88443984,0.03148768,37.88205566,0.015928783,4451,4864,2874,4106,11197,775,5098,1624,110,72,1442,3040,353,986,1701,2901,1146,717,1038,8276,5501,1990,785,30482,13795,42341,20981,8563,21360,9630,7629,34,1418,452,34,113,1369,302,34394,5441,234,1315,780,,,,,,,,,,,,,,,,,,,,,,,,,0.982360533,0.997059784,0.338069882,0.830952381,0,0,0.095425467,1,1,0.220394005
20,27,East Garfield Park,20881,20567,19992,7828,2.501149719,19908,1515,4595,4434,4312,3064,1154,669,165,32.43031359,1146,970,17062,154,576,19143,14788,8223,6553,1670,6565,6432,320,6112,3135,872,1720,264,121,213360,3082,3020,800,279,12287,2301,3691,2993,846,1705,751,3548,1374,826,517,605,311,25692.18241,16919.38618,7181,1827,5354,1383,8564,809,438,2234,2533,1024,298,1206,22,5.351593069,1142,2188,1422,3812,1948.719852,1867,2415,3078,905,299,376,1132,256,63,212283.9506,5089,1019,1567,1806,653,44,991.3900415,6245,1332,936,5544,5371,1637,7447,Health Care,Administration,Retail Trade,Accommodation and Food Service,Education,1373,932,747,726,662,4771,Health Care,Accommodation and Food Service,Administration,Professional,Construction,894,837,609,513,512,Outside of Chicago,The Loop,Near West Side,Near North Side,West Town,2775,1224,555,526,234,Outside of Chicago,Austin,East Garfield Park,Lake View,North Lawndale,2174,167,125,91,85,,,,7817.803425,,,,,,,,,,0,0,1,0,0,1,4.078614992,1236.989064,57.89433179,0.046802622,205.1082222,0.165812478,8.717643903,0.00704747,38.62381039,0.031224052,84.91143192,0.06864364,74.92673876,0.060571868,411.6805481,0.332808559,0,0,183.0512456,0.147981297,172.0750916,0.139108014,2822,1645,1138,1576,4152,1768,3029,2342,118,291,1933,1912,157,273,1482,802,206,303,293,1380,876,382,122,19470,438,18393,887,200,17506,553,25,31,5,0,99,22,37,115,235,207,20296,25,118,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.253433099,0.656676255,0.597806143,0,0.108910306,1,1,0.500587741
21,52,East Side,23653,23042,21724,7004,3.100371216,24353.39344,1765.677314,6041.540663,5208.423408,4562.427199,4135.35357,1841.044414,499.5547189,299.3721529,32.6151914,2578.949316,21367.80959,312.4014388,45.23309353,49,24388.6309,17896.46052,11057.02546,10135.26875,889.8729133,6839.435062,9987.965148,486.4012555,9501.563892,6882.885631,1353.881725,1017.539549,145.6896768,101.5673099,356069.0582,618.8004014,2793.454628,2776.749195,1134.235572,14524.11135,3803.063639,5315.411042,2466.764501,1138.352635,1198.715,601.8045298,1218.264145,2089.745787,1247.922294,1120.656273,1236.834533,410.5352706,55740.01162,22236.62292,7323.958303,4947.766446,2376.463534,687.6162362,8011.859874,5231.527184,199.2022369,1799.688721,562.5200232,148,60,0,10.92170819,6.26090216,105,481.8210909,3787.890682,3637.148101,1942.17434,243.8220641,2179.975336,4069.731702,1254.522943,263.8078292,3185.066574,1568.489945,92,101.9852399,133561.9715,2160.505105,83,1154.485025,707.4491082,215.5709717,0,896.4955056,6762.895849,1059.92174,561.0624539,6604.938253,6473.982534,719.0200492,7749,Manufacturing,Health Care,Accommodation and Food Service,Education,Retail Trade,999,964,795,738,722,1566,Administration,Transportation,Accommodation and Food Service,Construction,Retail Trade,332,328,189,124,103,Outside of Chicago,The Loop,Near North Side,Near West Side,East Side,3410,1296,398,324,292,Outside of Chicago,East Side,Hegewisch,South Deering,South Chicago,840,292,72,53,27,,,,16410.55939,,,,,,,,,,0,0.084515388,0.915484612,0.009936618,0.271682682,0.718380699,7.558864835,1908.434963,464.6983399,0.24349708,81.03011906,0.042458937,11.39721852,0.005972024,59.52573771,0.031190865,100.0553438,0.052427956,148.7791186,0.077958705,758.8280565,0.397617981,0,0,187.3059292,0.098146352,96.81509951,0.050730102,1330.308456,1905.998493,1312.137208,2775.514145,5666.753167,1162.878875,1657.205135,735.0875048,15.88191882,18.95571956,700.2498665,2406.402109,463.5738142,760.7079822,1182.120313,1192.924282,645.9791012,288.3287401,258.616441,2723.112742,2414.630899,253.5347188,54.94712492,18214.93495,6131.6794,22581.11156,16235.6894,5477.686747,6345.422158,15746.53402,421.5,0,0,0,0,26.87647059,40.77891188,0,6951,16113,242,57,290,,,,,,,,,,,,,,,,,,,,,,,,,0.715264493,0.753791709,0.203058654,0.734630321,0.681720015,0.204348801,0.178516158,0.942074776,0.631806396,0.289290912
22,77,Edgewater,62198,56521,56296,30466,1.748342414,58084,2537,6038,17502,13256,9620,5206,2576,1349,37.7003643,31522,9302,7324,7369,2567,54751,51889,36645,34262,2343,15244,33894,5648,28246,11276,1472,12586,2453,459,1056380,11326,13545,3719,886,45050,3502,6093,6419,2293,14429,12314,6117,6053,4910,3406,4085,4905,61872.19731,48202.55721,29476,11054,18422,3489,32965,2645,360,1887,3162,4380,2366,18129,36,4.374518144,1342,6575,10170,14878,1945.318197,17496,9330,4261,1404,474,1648,4358,2582,2288,279071.4812,17960,1374,4714,6947,4448,477,1180.704824,28099,1462,1377,27250,25222,2226,26540,Professional,Health Care,Accommodation and Food Service,Education,Retail Trade,3553,3390,2811,2811,2152,7057,Accommodation and Food Service,Retail Trade,Health Care,Other Service,Education,1367,1363,881,573,501,Outside of Chicago,The Loop,Near North Side,Near West Side,Edgewater,8356,5852,3350,1720,937,Outside of Chicago,Edgewater,West Ridge,Rogers Park,Uptown,2461,937,361,339,287,,,,7118.884009,,,,,,,,,,0,0,1,0,0,1,1.735746386,1111.664615,152.1768474,0.13689097,351.7763731,0.3164411,25.58666662,0.023016534,77.18788456,0.069434507,65.74960529,0.059145181,4.930452463,0.004435198,355.9115151,0.320160874,0,0,73.37778439,0.066007124,4.967485839,0.004468511,14937,9616,2629,2294,10197,866,19279,3965,95,519,3351,7563,561,1598,5404,4829,892,2085,1852,12269,8060,3565,644,42831,15253,55547,19237,8018,36310,6986,2790,1282,907,498,144,1224,4258,1148,29782,12176,10564,7172,2504,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.627304489,0.831986841,0,0,0.026945185,1,1,0.635192882
23,9,Edison Park,11328,11187,11525,4733,2.434819353,11494,1035,1577,2235,2224,2846,867,455,255,40.31029619,9289,1438,76,236,455,11488,9207,6429,6285,144,2778,6126,555,5571,4575,214,667,81,34,176540,284,1537,1868,865,8345,327,1651,1619,373,2932,1443,537,387,486,549,1005,1590,115000,57571.04507,4554,3679,875,354,4908,3334,155,120,329,638,143,189,0,6.527180784,100,555,2893,1360,1953.120643,371,1515,1683,1011,328,108,683,1903,979,414761.4314,875,0,156,256,443,20,1532.608696,4182,126,372,4117,4053,437,6163,Education,Public Administration,Health Care,Professional,Retail Trade,869,850,683,507,489,2375,Administration,Professional,Accommodation and Food Service,Health Care,Education,812,327,215,183,130,Outside of Chicago,The Loop,Near North Side,Near West Side,O'Hare,3078,1557,266,203,145,Outside of Chicago,Edison Park,Norwood Park,Austin,Dunning,1343,134,87,53,47,,,,15481.04015,,,,,,,,,,0,0,1,0,0,1,2.053389658,726.2698254,379.3485618,0.522324553,39.91756756,0.054962448,6.283493002,0.008651734,24.07102294,0.033143361,10.26801662,0.014138019,8.989091256,0.012377068,236.6210038,0.32580316,0,0,20.23249976,0.027858103,0.538568686,0.000741555,1402,1184,882,1086,2960,162,1594,442,0,13,429,455,53,51,351,486,114,213,159,3144,2172,800,172,10331,1163,10459,1462,389,8997,519,577,0,0,30,0,4,289,43,10572,463,19,200,74,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.544305366,0.886916984,0,0,0.093364872,1,1,0.217277914
